scenario,t_origin,t_target,days_ahead,target_val,forecast_median,p10,p90,reference_peak_predicted,global_relative_bandwidth,local_relative_bandwidth,is_predictable
at_peak,35,36,1,0.015888957204193293,0.012857238,0.008841784,0.0187142,0.013234522193670273,0.74595946,0.7678489685058594,True
at_peak,35,37,2,0.015493601037474105,0.011997869,0.0090442905,0.01776167,0.013234522193670273,0.65868485,0.7265772819519043,True
at_peak,35,38,3,0.014990570765757154,0.011730464,0.0092296945,0.017062431,0.013234522193670273,0.5918413,0.6677260398864746,True
at_peak,35,39,4,0.014451166900029446,0.011201089,0.009118068,0.016798947,0.013234522193670273,0.5803669,0.6857260465621948,True
at_peak,35,40,5,0.0137576919301255,0.0107065905,0.008694726,0.016324898,0.013234522193670273,0.5765355,0.7126612663269043,True
at_peak,35,41,6,0.013052075206538987,0.010542178,0.008254223,0.016446847,0.013234522193670273,0.6190344,0.7771283388137817,True
at_peak,35,42,7,0.01230817320857466,0.010491295,0.008139131,0.01605058,0.013234522193670273,0.5977889,0.7540966272354126,True
at_peak,35,43,8,0.011495450717396806,0.010382563,0.007512333,0.01580638,0.013234522193670273,0.62669796,0.7988439798355103,True
at_peak,35,44,9,0.01070944008432061,0.010133749,0.007245691,0.015438865,0.013234522193670273,0.61907595,0.8085038065910339,True
at_peak,35,45,10,0.009932057846414566,0.009505724,0.006926421,0.0148721915,0.013234522193670273,0.6003821,0.8358932733535767,True
at_peak,35,46,11,0.009134525464099161,0.008862639,0.006585606,0.014144165,0.013234522193670273,0.5711245,0.8528565168380737,True
at_peak,35,47,12,0.008399406862415847,0.008170565,0.006068398,0.013289234,0.013234522193670273,0.5456061,0.8837621808052063,True
at_peak,35,48,13,0.007671728314052916,0.0075392034,0.005562466,0.0124695,0.013234522193670273,0.52189523,0.9161490797996521,True
at_peak,35,49,14,0.006970399954533007,0.0067104204,0.00495375,0.011588608,0.013234522193670273,0.5013296,0.988739550113678,True
at_peak,35,50,15,0.0062492831198623575,0.005985312,0.004327321,0.01067786,0.013234522193670273,0.4798465,1.0610204935073853,True
