scenario,target_source,lstm_peak_date,real_peak_date,t_cut_date,beta_network,beta_household,delta,fermi_mu,scale_factor,calibration_rmse_lstm,mode,runtime_seconds
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.2739321539295425,2.700374741878789,1.208876106217154,15.76468653682516,5729851.528220346,4930.097837304617,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.2773813612313519,2.90305887534629,1.437674376108223,22.579311364725495,2137023.191163261,5626.575632609722,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.21752414424835037,2.3331262761971203,1.0469697744190292,15.635265447536893,790615.8799959365,5990.075891366582,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.050148506210952945,1.716031120103383,0.7485804965104855,17.923553641557948,363500.461059157,6129.200869240243,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.37023021458979827,2.3135408057128592,1.299112071920438,23.847111142361122,1053796.0083660947,6311.477698417807,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.19739362221018528,2.173287598847739,1.1203166081872609,21.108057619173504,591429.09335104,6320.590536756094,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.6265768759091503,3.3792334416548733,1.1553841134742904,6.25679989238856,325478.2168968223,6330.154072297718,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.6937355128868229,1.5689889622310127,1.0528866304678115,5.7867307695160575,6973327.657209431,6335.798444738067,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.1573445380946984,3.3762953375556974,1.1298948433412201,13.38431751339684,311494.8319347617,6385.281165492087,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.2130739605161652,2.9464449935644033,1.2350448407568346,20.358560904429456,502180.5279495735,6414.419068469196,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.173334240302567,3.21120553447626,1.2347994475090667,20.073175080300462,363293.6812891385,6473.018369026925,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.21769205919325668,1.7936843014044797,0.7930779184921086,11.197588134471355,172446.41786395092,6475.059850306666,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.22038385431834512,2.0845105433999884,1.1489179520913524,24.79539260724559,388522.72707580606,6497.802247362132,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.3045726277581316,2.6760057884595865,1.1774044275706113,18.434221151547053,365770.8800932124,6497.934748498069,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.2914518668414036,1.3456363240064717,0.6515384952867698,8.999348612416046,113611.05811148955,6520.025015260866,surrogate,0.547266960144043
lstm_tpeak_minus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-01-28,0.40196054103034873,0.6977469794545794,0.6983793490019354,8.734715543088498,9853248.448249755,6529.04840886869,surrogate,0.547266960144043
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.16747095130277623,1.1826665005043422,1.2153820335673418,35.737745227943755,13269832.773981966,7453.930286322829,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.37394948523428956,1.644909579633989,1.1538534570827446,23.531552937410062,10640980.183714522,7695.2064250209005,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.20007220625136582,1.8426119650140984,1.0769667382272998,18.863474314198783,10303018.14498226,7859.6683156098525,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.7367013588297644,0.9821397213101626,1.2312591870449803,21.525356492951268,26220101.52333214,10402.190752275712,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.6199977628603893,2.299151488220931,1.2852853808233662,9.228374009439452,13881375.679062756,11659.185367716405,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.348359461617009,3.2831787288324166,1.4444063779272636,24.892150635081062,1176582.877979683,11791.798274018854,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.20154317113287218,2.0389863730199607,1.0708310836630968,14.37540212878104,11400217.183994144,11867.282335720729,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.27228751207385343,2.333280605916059,1.256504225400079,26.036931039176956,1109468.859737862,11901.244069956578,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.2799370537279902,2.176912894570564,0.9936750503235556,15.912133468610707,595584.5091523128,11903.503487849855,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.3005495004598296,2.9419037454102894,1.1848954252563912,17.424885512569947,794167.9087534493,11904.92316845881,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.27447304877831796,3.5460101298197064,1.0763961937825723,8.114345485075745,356832.03232483065,12006.065335134836,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.38514469767431997,1.5355593483697936,0.8567995648225047,15.432002443647901,457310.4815745623,12085.424957023111,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.22030535962825534,2.862901915091341,1.1718828594013038,19.69080138430156,536444.4449979487,12091.766045435403,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.333947535231979,1.780363432194299,0.7270068208295274,6.9777801329401585,177974.9611088722,12154.145091631439,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.2017439809762772,1.9216113331858846,1.0348356402212464,24.55232529565078,398492.58123943495,12182.74005633664,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.3133394419236743,3.2577521441519934,1.1576287245775754,15.4643298115125,343068.92594331,12227.39322517052,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.2176700401301706,2.8936142488069163,1.1331378412790662,19.16049193693845,311060.4429222494,12258.607524893181,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.30948855623554666,1.9803255883262518,0.9353087518134583,17.905492452967078,260950.55911866887,12272.303536198273,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.23371085289890856,3.1471377899809987,1.1779299984296485,20.201065847398617,309394.9019280159,12278.099791117162,surrogate,0.5270111560821533
lstm_tpeak_plus_7,LSTM_surrogate,2022-02-04,2022-02-11,2022-02-11,0.3070051242892935,2.2449045092243947,1.1164614727982423,22.536323250435007,296009.5819039219,12307.604126388604,surrogate,0.5270111560821533
