Dia,Ground_Truth,LSTM_Pred,SmoothAE_Pred,BasicAE_Pred
46,0.0019026472050452745,0.0017793609,0.0025884793,0.0034352492
47,0.0015625715706154095,0.0014780742,0.002377345,0.0034079275
48,0.0012798641484982037,0.0012232699,0.0017907145,0.0043623727
49,0.0010345270613733742,0.0010030277,0.0014700496,0.0066733663
50,0.0008541551455432104,0.0008201173,0.0013240319,0.013156887
51,0.000704617945581195,0.00066417333,0.0012258322,0.0056839436
52,0.0005713918634334902,0.00053774106,0.0011402549,0.0022962152
53,0.0004678832973036383,0.00043751128,0.0010392795,0.0013099228
54,0.00037236271010339687,0.0003489772,0.0008302918,0.0012671781
55,0.0002976220401186468,0.00028373327,0.00083075406,0.0013530954
56,0.0002457281070724338,0.00024369798,0.0006244038,0.0011626176
57,0.0001983588334199163,0.00020673103,0.0004902714,0.001055796
58,0.00016339047810567586,0.00017602625,0.00042035352,0.0009922181
59,0.00013680112166864972,0.00014927908,0.00033581356,0.00070043973
60,0.00010747462559840017,0.0001262137,0.0003201523,0.00057792186
61,8.473960864489246e-05,0.00010578926,0.000312376,0.0009133736
62,6.624995112250654e-05,8.809876e-05,0.00039174643,0.00041443284
63,5.5971712499790534e-05,7.339498e-05,9.7095144e-05,0.0003458782
64,4.6028633832163066e-05,6.12471e-05,8.984504e-05,0.00021836888
65,3.843167485015556e-05,5.155624e-05,6.190046e-05,0.00033176458
66,2.8209296219954307e-05,4.308035e-05,0.00011108756,0.00014932036
67,2.4243236751406282e-05,3.620242e-05,4.7060956e-05,0.00031861663
68,1.8992397455018743e-05,3.0491277e-05,3.93454e-05,0.00023081033
69,1.7707617627179243e-05,2.5734047e-05,0.0,0.00027876094
70,1.4579458046352623e-05,2.2107148e-05,0.0,0.00037173973
71,1.2065758383188377e-05,1.8755516e-05,0.0,0.00016818255
72,9.384478742479848e-06,1.5924968e-05,0.0,6.225951e-05
73,9.38447874247985e-06,1.4155759e-05,0.0,1.2553862e-05
74,1.0222378630201263e-05,1.2884961e-05,0.0,0.0
75,7.261799026918929e-06,1.1604297e-05,0.0,0.0
76,6.368039146682754e-06,1.067822e-05,4.23127e-05,0.0
77,5.027399326328491e-06,9.7919765e-06,6.357219e-05,0.0
78,3.407459543400421e-06,8.9314735e-06,8.021598e-05,1.6897106e-06
79,2.569559655679006e-06,8.304423e-06,1.762872e-05,2.6018553e-05
80,2.6254196481937673e-06,7.783431e-06,1.5085219e-05,0.0
81,8.378998877214151e-07,7.334872e-06,0.0,0.0
82,3.9101994760332705e-07,6.8775703e-06,0.0,0.00010018377
83,1.11719985029522e-07,6.5649206e-06,1.0109111e-05,0.0
84,1.11719985029522e-07,6.267954e-06,0.0,5.9775048e-05
85,1.67579977544283e-07,5.9818226e-06,0.0,0.0
86,1.11719985029522e-07,5.71879e-06,0.0,0.0
87,0.0,5.526812e-06,1.9035646e-05,0.0
88,0.0,5.209069e-06,1.2117418e-05,4.2269046e-05
89,0.0,5.0637723e-06,0.0,0.0
90,0.0,4.765681e-06,4.7102094e-05,0.0
91,0.0,4.5274423e-06,6.7898276e-05,0.0
92,0.0,4.289724e-06,5.4633394e-05,0.0
93,0.0,4.120491e-06,2.3919272e-05,0.0
94,0.0,3.919847e-06,3.0763022e-06,0.0
95,0.0,3.7849873e-06,0.0,0.0
96,0.0,3.689856e-06,0.0,0.0
97,0.0,3.523643e-06,1.773353e-06,0.0
98,0.0,3.3630631e-06,5.190755e-06,0.0
99,0.0,3.1687118e-06,6.382647e-07,0.0
